INPUT_TABLE
Variable ID
Indiaplantelec_logit

region,supplysector,subsector0,subsector1,subsector,logit.year.fillout,logit.exponent,logit.type
India,electricity,IndCstS,biomass,biomass (conv),1975,-10,relative.cost.logit
India,electricity,IndCstS,biomass,biomass (IGCC),1975,-10,relative.cost.logit
India,electricity,IndCstS,biomass,biomass (conv CCS),1975,-10,relative.cost.logit
India,electricity,IndCstS,biomass,biomass (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,NarmadaR,biomass,biomass (conv),1975,-10,relative.cost.logit
India,electricity,NarmadaR,biomass,biomass (IGCC),1975,-10,relative.cost.logit
India,electricity,NarmadaR,biomass,biomass (conv CCS),1975,-10,relative.cost.logit
India,electricity,NarmadaR,biomass,biomass (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,SabarmatiR,nuclear,Gen_II_LWR,1975,-6,relative.cost.logit
India,electricity,SabarmatiR,nuclear,Gen_III,1975,-6,relative.cost.logit
India,electricity,GangesR,nuclear,Gen_II_LWR,1975,-6,relative.cost.logit
India,electricity,GangesR,nuclear,Gen_III,1975,-6,relative.cost.logit
India,electricity,MahiR,nuclear,Gen_II_LWR,1975,-6,relative.cost.logit
India,electricity,MahiR,nuclear,Gen_III,1975,-6,relative.cost.logit
India,electricity,TaptiR,nuclear,Gen_II_LWR,1975,-6,relative.cost.logit
India,electricity,TaptiR,nuclear,Gen_III,1975,-6,relative.cost.logit
India,electricity,BengalW,nuclear,Gen_II_LWR,1975,-6,relative.cost.logit
India,electricity,BengalW,nuclear,Gen_III,1975,-6,relative.cost.logit
India,electricity,BrahmaniR,nuclear,Gen_II_LWR,1975,-6,relative.cost.logit
India,electricity,BrahmaniR,nuclear,Gen_III,1975,-6,relative.cost.logit
India,electricity,MahanadiR,nuclear,Gen_II_LWR,1975,-6,relative.cost.logit
India,electricity,MahanadiR,nuclear,Gen_III,1975,-6,relative.cost.logit
India,electricity,GodavariR,nuclear,Gen_II_LWR,1975,-6,relative.cost.logit
India,electricity,GodavariR,nuclear,Gen_III,1975,-6,relative.cost.logit
India,electricity,IndCstNE,nuclear,Gen_II_LWR,1975,-6,relative.cost.logit
India,electricity,IndCstNE,nuclear,Gen_III,1975,-6,relative.cost.logit
India,electricity,IndCstW,nuclear,Gen_II_LWR,1975,-6,relative.cost.logit
India,electricity,IndCstW,nuclear,Gen_III,1975,-6,relative.cost.logit
India,electricity,KrishnaR,nuclear,Gen_II_LWR,1975,-6,relative.cost.logit
India,electricity,KrishnaR,nuclear,Gen_III,1975,-6,relative.cost.logit
India,electricity,IndCstE,nuclear,Gen_II_LWR,1975,-6,relative.cost.logit
India,electricity,IndCstE,nuclear,Gen_III,1975,-6,relative.cost.logit
India,electricity,PennarR,nuclear,Gen_II_LWR,1975,-6,relative.cost.logit
India,electricity,PennarR,nuclear,Gen_III,1975,-6,relative.cost.logit
India,electricity,CauveryR,nuclear,Gen_II_LWR,1975,-6,relative.cost.logit
India,electricity,CauveryR,nuclear,Gen_III,1975,-6,relative.cost.logit
India,electricity,IndCstS,nuclear,Gen_II_LWR,1975,-6,relative.cost.logit
India,electricity,IndCstS,nuclear,Gen_III,1975,-6,relative.cost.logit
India,electricity,NarmadaR,nuclear,Gen_II_LWR,1975,-6,relative.cost.logit
India,electricity,NarmadaR,nuclear,Gen_III,1975,-6,relative.cost.logit
India,electricity,SabarmatiR,hydro,hydro,1975,-6,relative.cost.logit
India,electricity,GangesR,hydro,hydro,1975,-6,relative.cost.logit
India,electricity,MahiR,hydro,hydro,1975,-6,relative.cost.logit
India,electricity,TaptiR,hydro,hydro,1975,-6,relative.cost.logit
India,electricity,BengalW,hydro,hydro,1975,-6,relative.cost.logit
India,electricity,BrahmaniR,hydro,hydro,1975,-6,relative.cost.logit
India,electricity,MahanadiR,hydro,hydro,1975,-6,relative.cost.logit
India,electricity,GodavariR,hydro,hydro,1975,-6,relative.cost.logit
India,electricity,IndCstNE,hydro,hydro,1975,-6,relative.cost.logit
India,electricity,IndCstW,hydro,hydro,1975,-6,relative.cost.logit
India,electricity,KrishnaR,hydro,hydro,1975,-6,relative.cost.logit
India,electricity,IndCstE,hydro,hydro,1975,-6,relative.cost.logit
India,electricity,PennarR,hydro,hydro,1975,-6,relative.cost.logit
India,electricity,CauveryR,hydro,hydro,1975,-6,relative.cost.logit
India,electricity,IndCstS,hydro,hydro,1975,-6,relative.cost.logit
India,electricity,NarmadaR,hydro,hydro,1975,-6,relative.cost.logit
India,electricity,SabarmatiR,geothermal,geothermal,1975,-6,relative.cost.logit
India,electricity,GangesR,geothermal,geothermal,1975,-6,relative.cost.logit
India,electricity,MahiR,geothermal,geothermal,1975,-6,relative.cost.logit
India,electricity,TaptiR,geothermal,geothermal,1975,-6,relative.cost.logit
India,electricity,BengalW,geothermal,geothermal,1975,-6,relative.cost.logit
India,electricity,BrahmaniR,geothermal,geothermal,1975,-6,relative.cost.logit
India,electricity,MahanadiR,geothermal,geothermal,1975,-6,relative.cost.logit
India,electricity,GodavariR,geothermal,geothermal,1975,-6,relative.cost.logit
India,electricity,IndCstNE,geothermal,geothermal,1975,-6,relative.cost.logit
